PID,Description,Units,Data Type,Multiply,Divide,Add
0x4AFC,Ambient temperature between 20 Â° C and 29 Â° C,%,unsigned int,100,65536,0
0x4AFD,Ambient temperature between 30 Â° C and 39 Â° C,%,unsigned int,100,65536,0
0x4B23,Misfire detection counter cylinder 1,-,unsigned int,1,1,0
0x4B24,Misfire detection counter cylinder 2,-,unsigned int,1,1,0
0x4B25,Misfire detection counter cylinder 3,-,unsigned int,1,1,0
0x4B30,Misfire detection counter cylinder 4,-,unsigned int,1,1,0
0x558B,Adapted ash mass in the particle filter,-,signed int,1,1000,0
0x558C,Adapted total loading of the particle filter,-,signed int,1,1000,0
0x558E,Mileage fuel delivery module,km,signed long,1,1,0
0x558F,Operating hours of fuel delivery module,h,unsigned long,1,2,0
0x55A7,Status terminal 15-WUP,-,unsigned char,1,1,0
0x55A8,Status terminal 15-3,-,unsigned char,1,1,0
0x55A9,Status of supply voltage load ignition,-,unsigned char,1,1,0
0x55AA,Status supply voltage load terminal 15N-1,-,unsigned char,1,1,0
0x55AB,Status supply voltage load terminal 15N-2,-,unsigned char,1,1,0
0x55AC,Status supply voltage load terminal 15N-3,-,unsigned char,1,1,0
0x5717,Actual transmission input of the VM,Nm,signed int,1,10,0
0x5734,Status of transmission interventions via CAN,-,unsigned char,1,1,0
0x5738,Saugrohrdruckdifferenz,hPa,unsigned int,10,256,0
0x573A,Target differential pressure intake manifold,hPa,signed int,10,256,0
0x573C,Differential pressure in front of the throttle valve between the start and the end of the dynamic test SSP,hPa,signed int,5,64,0
0x575F,Relative SOC,-,signed int,0.0001,1,0
0x5763,Actual physical value,Â°C,signed int,1,10,-273.14
0x5769,Setpoint stroke adjustment,mm,unsigned int,1,1000,0
0x576A,Raw value position of upper mechanical stop from electrical wastegate (flat share open),mm,signed int,64,65536,0
0x576B,Raw value position of the lower mechanical stop from the electrical wastegate (WG closed),mm,signed int,64,65536,0
0x5773,Ash influence,-,signed int,1,1000,0
0x5774,Soot mass in the particle filter,g,signed int,1,1000,0
0x5784,Operating time since the last successful regeneration,s,signed long,1,1,0
0x5788,E-fan target speed from WMK,%,unsigned char,100,256,0
0x579B,Temperature in the particulate filter bank 1,Â°C,signed int,1,10,-273.14
0x57A0,Reference torque for misfire detection,%,unsigned int,100,65536,0
0x57A1,Target air mass flow,kg/h,unsigned int,0.1,1,0
0x57A3,Total reflex start number at the last starter exchange,-,unsigned long,1,1,0
0x57A4,Total number of starts at the last starter exchange,-,unsigned long,1,1,0
0x57A9,Raw pressure value pressure sensor gasoline particle filter,hPa,signed int,1,1,0
0x57AD,"Air mass flow HFM, corrected and filtered (for calculation of control difference mass flow controller)",kg/h,unsigned int,1,32,0
0x57AE,Setpoint speed E-fan default WM,%,unsigned int,100,65536,0
0x57B4,Setpoint speed of electric water pump for cooling the turbocharger bearing chair,1/min,unsigned char,1,1,0
0x57B5,Generator speed,1/min,unsigned int,1,1,0
0x57C1,Boost pressure from the sensor as an average,hPa,unsigned int,125,1000,0
0x57C3,Inlet spread,Â° KW,unsigned int,1,10,0
0x57C9,Raw voltage value of the pressure sensor Otto particle filter from the ADC,mV,signed int,1,5,0
0x57CA,Intake manifold pressure measured with pressure sensor on the intake manifold (DS-S),hPa,unsigned int,10,256,0
0x57D0,Filtering pressure difference ambient pressure - intake manifold pressure,hPa,signed int,10,256,0
0x57D1,Pressure at the suction jet pump,hPa,unsigned int,10,256,0
0x57D2,Pressure ejector pump raw value,hPa,unsigned int,10,256,0
0x57E3,Time since the last refueling,min,unsigned int,1,1,0
0x57F0,Operating status of the electrical wastegate,-,unsigned char,1,1,0
0x57F5,Average of the measured values for mass flow diagnosis HFM in the LL,-,unsigned int,2,65536,0
0x57FE,Output duty cycle for the tank ventilation valve,%,unsigned int,100,65536,0
0x5805,"Motor temperature, linearized and converted",Â°C,unsigned char,0.75,1,-48
0x5807,Factor from lambda control adaptation for bank 1,-,unsigned int,2,65536,0
0x580A,Sensor temperature,Â°C,unsigned int,0.09375,1,5
0x580F,Intake air temperature,Â°C,unsigned char,0.75,1,-48
0x5811,Relative engine oil level in cl above minimum,cl,unsigned char,1,1,0
0x5812,Mass flow HFM 16-bit size,kg/h,unsigned int,0.1,1,0
0x5813,Relative air filling,%,unsigned char,0.75,1,0
0x5816,Lambda setpoint based on the installation location of the lambda sensor,-,unsigned int,16,65536,0
0x5817,Ambient temperature,Â°C,unsigned char,0.75,1,-48
0x5818,Air mass flow,kg/h,unsigned char,4,1,0
0x581A,Angle inlet valve opens based on LWOT,Â° KW,signed int,1,128,0
0x581B,Target angle camshaft inlet opens,Â° KW,signed int,1,128,0
0x581C,Angle exhaust valve closes based on LWOT,Â° KW,signed int,1,128,0
0x581D,Target angle camshaft exhaust closes,Â° KW,signed int,1,128,0
0x581E,"Intake air temperature, linearized and converted",Â°C,unsigned char,0.75,1,-48
0x5820,Status of terminal 15,-,unsigned char,1,1,0
0x5821,Control unit temperature,Â°C,unsigned char,0.75,1,-48
0x5822,Oil temperature,Â°C,unsigned char,1,1,-60
0x5823,Shutdown time,s,unsigned int,1,1,0
0x5825,Tension,V,signed int,1,100,0
0x5826,Throttle valve angle from potentiometer 1,% DK,unsigned char,100,255,0
0x5827,Duty cycle for lambda probe heating,%,unsigned int,200,65536,0
0x582B,Torque consumption of the converter via CAN,%,unsigned int,100,65536,0
0x582C,"Lambda probe actual value, corrected for additional amplitude",-,unsigned int,16,65536,0
0x582D,Correction value of the LSU voltage before cat,V,signed int,1,2048,0
0x582F,Exhaust gas temperature after catalytic converter from model,Â°C,unsigned char,5,1,-50
0x5830,Dynamic value of the LSU,-,unsigned int,16,65536,0
0x5834,Ambient pressure from sensor,hPa,unsigned int,10,256,0
0x5837,Setpoint rail pressure control,MPa,unsigned int,5,10000,0
0x583A,Intake air temperature at start,Â°C,unsigned char,0.75,1,-48
0x583B,Fuel tank level,l,unsigned char,1,1,0
0x583C,Battery voltage value recorded by the AD converter,V,unsigned char,0.0942,1,0
0x583D,Operating hours counter,min,unsigned int,6,1,0
0x583F,"Target value for throttle valve angle, based on lower stop",% DK,unsigned char,100,255,0
0x5840,Throttle angle of the emergency air position,% DK,unsigned int,100,65535,0
0x5841,Temperature control unit value,V,unsigned char,5,256,0
0x5844,Chip temperature of the machine,Â°C,signed int,1,10,0
0x5845,Heating voltage in front of the catalyst of a broadband lambda probe (ADC value),V,unsigned int,5,1024,0
0x5849,Lambda probe voltage (4.88mV / LSB) behind the catalytic converter,V,unsigned int,5,1024,-1
0x584A,Current status of electric machine,-,unsigned int,1,1,0
0x584C,Voltage throttle valve potentiometer 2,V,unsigned int,80,65536,0
0x584D,Mass flow of tank ventilation into the intake manifold,kg/h,unsigned int,25.6,65536,0
0x584E,Voltage throttle valve potentiometer 1,V,unsigned int,80,65536,0
0x584F,Environmental condition BNS error,-,unsigned char,1,1,0
0x5850,Signal voltage of the coolant temperature sensor,V,unsigned int,5,1024,0
0x5852,IBS battery power,A,unsigned int,1,50,-200
0x5853,IBS battery voltage,V,unsigned int,1,1000,0
0x5854,IBS battery temperature,Â°C,unsigned char,3,4,-48
0x5862,Setpoint oil pressure,kPa,unsigned int,1,10,0
0x5866,Relative level of the engine oil,-,unsigned char,1,1,0
0x5867,Route of the vehicle as information via CAN,km,unsigned int,10,1,0
0x5868,Status Stand Consumer Registered Part 1,-,unsigned char,1,1,0
0x5869,Status Stand consumer registered part 2,-,unsigned char,1,1,0
0x586A,Current battery voltage,V,unsigned int,0.00025,1,6
0x586B,Time in which the quiescent current is 80-200 mA,min,unsigned char,224,15,0
0x586C,Time in which quiescent current is 200-1000 mA,min,unsigned char,224,15,0
0x586D,Maximum frozen supply voltage,V,unsigned char,0.1,1,0
0x586E,Time in which the quiescent current is greater than 1000 mA,min,unsigned char,224,15,0
0x586F,Oil pressure,hPa,signed int,1,1,0
0x5876,Unfiltered high pressure raw value (relative pressure),MPa,unsigned int,5,10000,0
0x5877,VVT motor rotor angle,Â°,unsigned int,1,1,0
0x587B,VVT motor current to be set by the position controller,A,signed int,400,65536,0
0x587D,Status zero gear detection,-,unsigned char,1,1,0
0x587E,Motor temperature reference value from model,Â°C,unsigned char,0.75,1,-48
0x5881,Actual gear,-,unsigned char,1,1,0
0x5882,Engine starting temperature,Â°C,unsigned char,0.75,1,-48
0x5883,Voltage knock values cylinder 1,V,unsigned int,5,65536,0
0x5885,Voltage knock values cylinder 2,V,unsigned int,5,65536,0
0x5886,Voltage knock values cylinder 3,V,unsigned int,5,65536,0
0x5887,Utilization of the machine,-,unsigned int,1,200,0
0x5888,Voltage knock values cylinder 4,V,unsigned int,5,65536,0
0x5889,Lambda actual value,-,unsigned int,16,65536,0
0x588B,Time since the engine started,s,unsigned int,0.01,1,0
0x588C,Ceramic temperature of the LSU,Â°C,unsigned int,0.0234375,1,-273.15
0x5890,Engine radiator outlet temperature (coolant),Â°C,unsigned char,0.75,1,-48
0x5891,Clutch motor torque actual value,Nm,signed int,0.5,1,0
0x5892,Difference between ambient pressure and brake booster pressure from pressure sensor (raw value),hPa,signed int,10,256,0
0x5896,Exhaust gas temperature behind main catalyst from model,Â°C,unsigned int,0.0234375,1,-273.15
0x5898,Default machine target voltage,V,unsigned int,1,1000,0
0x589A,Duty cycle zero gear sensor,%,unsigned int,1,100,0
0x589D,Number of detected VVT position control errors,-,unsigned int,1,1,0
0x589E,Setpoint eccentric angle VVT,Â°,unsigned int,1,10,0
0x589F,Battery temperature,Â°C,unsigned char,0.75,1,-48
0x58A0,Discharge during quiescent current violation,Ah,unsigned int,65536,3600000,0
0x58A2,Actual value of the eccentric angle VVT,Â°,unsigned int,1,10,0
0x58A3,Rel. Eccentric angle on the upper mech. attack,Â°,signed int,1,10,0
0x58A4,Number of recognized VVT position control error warnings irreversible,-,unsigned int,1,1,0
0x58A5,Number of detected VVT position control error warnings reversible,-,unsigned int,1,1,0
0x58A6,Relative eccentric angle without reference to a stop,Â°,signed int,1,10,0
0x58A7,Shutdown time from relative minute counter until engine start,min,unsigned int,1,1,0
0x58A8,Rel. Eccentric angle on the lower mech. attack,Â°,signed int,1,10,0
0x58AA,Adjustment range of the eccentric angle,Â°,unsigned int,1,10,0
0x58AC,Terminal voltage of the electric machine,V,unsigned int,1,100,0
0x58AE,Period duration for mass flow from HFM,Âµs,unsigned int,1,10,0
0x58B7,Current brake pressure,hPa,unsigned char,1,1,0
0x58BB,Electricity for VVT motor,A,signed int,400,65536,0
0x58BD,Status error overload VVT1,-,unsigned char,1,1,0
0x58CB,Total thermal load VVT,-,unsigned int,1,1,0
0x58D1,Engine temperature when switched off,Â°C,unsigned char,0.75,1,-48
0x58D2,Damper setpoint in degrees,-,unsigned char,128,255,0
0x58D3,Actual damper value in degrees,-,unsigned char,128,255,0
0x58D4,Start condition for frictional connection fulfilled,-,unsigned char,1,1,0
0x58D9,Pedometer throttle return spring test,-,unsigned char,1,1,0
0x58DA,Coordinated moment for filling,%,unsigned int,100,65536,0
0x58DC,Interval counter for emissions-related misfires (0-1000 KW rev. Or 0-500 NW rev.),-,unsigned int,1,1,0
0x58DD,Boost pressure raw value,hPa,unsigned int,20,256,0
0x58DE,Voltage pressure sensor in front of throttle valve,V,unsigned int,5,1024,0
0x58E4,Actual operating mode,-,unsigned char,1,1,0
0x58E5,Filtered spark burning time cylinder 1,ms,unsigned int,0.001,1,0
0x58E6,Filtered spark burning time cylinder 2,ms,unsigned int,0.001,1,0
0x58E7,Filtered spark burning time cylinder 3,ms,unsigned int,0.001,1,0
0x58E8,Filtered spark burning time cylinder 4,ms,unsigned int,0.001,1,0
0x58E9,Supply voltage electr. water pump,V,unsigned char,0.1,1,0
0x58EA,Actual speed electr. water pump,1/min,unsigned char,1,1,0
0x58EC,Electronics temperature electr. water pump,Â°C,unsigned char,1,1,-50
0x58ED,Current consumption electr. water pump,A,unsigned char,1,2,0
0x58EF,Filtered rail pressure actual value (absolute pressure),MPa,unsigned int,5,10000,0
0x58F0,Unfiltered rail pressure actual value (abs.),MPa,unsigned int,5,10000,0
0x58F2,Duty cycle quantity control valve,%,unsigned int,100,65536,0
0x58F3,Unfiltered low pressure raw value,kPa,unsigned int,1,10,0
0x58F6,Setpoint voltage of the VVT position controller,V,signed int,51.2,65536,0
0x58FB,Delta probe offset master control,-,signed int,2,65536,0
0x5909,Minimum frozen supply voltage,V,unsigned char,0.1,1,0
0x590F,Status of fault memory entry without critical DMF fault,-,unsigned char,1,1,0
0x5911,Set speed of electric water pump for cooling the electric machine and EME,1/min,unsigned char,1,1,0
0x5916,Relative state of charge NV battery,%,unsigned char,0.5,1,0
0x5917,DC-DC converter status,-,unsigned char,1,1,0
0x5918,Utilization of the DC-DC converter,%,unsigned char,0.5,1,0
0x5927,Is position electrical wastegate,%,unsigned char,100,256,0
0x592A,"Motor speed, high resolution",1/min,signed int,1,2,0
0x592D,KW angular offset when starting the engine,Â° KW,signed int,1,45.51111111,0
0x592E,Engine stop position,Â° KW,signed int,1,45.51111111,0
0x5938,Ethanol content - raw value from the sensor,-,unsigned int,0.00003052,1,0
0x5939,Ethanol content at the injection valve,-,unsigned int,0.00003052,1,0
0x593A,Total mass of gasoline and alcohol in the oil,g,unsigned int,0.02133333,1,0
0x593B,Gear sensor error message,-,unsigned char,1,1,0
0x5940,Actual gear information from the gear sensor,-,unsigned char,1,1,0
0x5941,Gear sensor position in X (Beta) direction,Â°,unsigned long,1,20,0
0x5942,Gear sensor position in Y (Beta) direction,Â°,unsigned long,1,20,0
0x5945,Number of VVT emergency runs until replacement,-,unsigned char,1,1,0
0x5946,Number of VVT emergency runs,-,unsigned char,1,1,0
0x5948,Correction factor fuel mixture for injection time,-,unsigned int,0.00003052,1,0
0x5949,Level of the left half of the tank,l,unsigned char,1,2,0
0x594A,Level of the right half of the tank,l,unsigned char,1,2,0
0x594C,"Fuel temperature (sensor, model or fixed substitute value)",Â°C,unsigned char,0.75,1,-48
0x594F,Actual speed,1/min,unsigned char,20,1,0
0x5950,Actual power consumption,A,unsigned char,1,1,-55
0x5951,Actual operating voltage,V,unsigned char,1,4,0
0x5952,Actual temperature,Â°C,unsigned char,256,256,-55
0x5956,Differential pressure ejector pump - environment,hPa,signed int,10,256,0
0x5957,Engine room temperature,Â°C,signed int,0.1,1,-273.14
0x5958,Cylinder head temperature raw value,Â°C,signed int,1,10,-273.14
0x597F,Battery power,A,unsigned int,0.08,1,-200
0x5981,Current DC-DC converter,A,unsigned char,1,1,0
0x5982,Control of stand consumers,-,unsigned char,1,1,0
0x5986,Energy status for terminal control,-,unsigned char,1,1,0
0x59BD,Inlet NW: Angular offset fine adaptation,Â° KW,signed long,1,45.511111,0
0x59BE,Outlet NW: angular offset fine adaptation,Â° KW,signed long,1,45.511111,0
0x59BF,Inlet NW: Angular offset reference adaptation,Â° KW,signed int,0.02197266,1,0
0x59C0,Outlet NW: Angular offset reference adaptation,Â° KW,signed int,0.02197266,1,0
0x59D1,Maximum speed clutch,-,unsigned int,1,1,0
0x59D2,Stepper motor status is position,-,unsigned int,1,1,0
0x59D4,"Intake air temperature before throttle valve, measured",Â°C,unsigned int,0.0234375,1,-273.15
0x59E8,Medium voltage rail pressure sensor,V,unsigned int,20,65536,0
0x59EB,Vehicle speed on the front or rear axle or in the vehicle&#39;s center of gravity,km/h,unsigned int,512,65536,0
0x59FA,Actual ignition angle,Â° KW,signed char,191.25,255,0
0x59FC,Ignition angle output,Â° KW,signed char,191.25,255,0
0x59FD,Target ignition angle from torque intervention,Â° KW,signed char,191.25,255,0
